Provider ID,Payment measure ID,Payment category,Lower estimate,Higher estimate,Value of care display name,Value of care category
10012,PAYM_30_AMI,No Different than the National Average Payment,"$21,682 ","$26,260 ",Value of Care Heart Attack measure,Average mortality and average payment
10012,PAYM_30_HF,No Different than the National Average Payment,"$14,277 ","$17,496 ",Value of Care Heart Failure measure,Average mortality and average payment
10012,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10012,PAYM_30_PN,No Different than the National Average Payment,"$16,571 ","$19,258 ",Value of Care Pneumonia measure,Worse mortality and average payment
10016,PAYM_30_AMI,No Different than the National Average Payment,"$22,093 ","$26,087 ",Value of Care Heart Attack measure,Average mortality and average payment
10016,PAYM_30_HF,Greater than the National Average Payment,"$16,768 ","$19,187 ",Value of Care Heart Failure measure,Average mortality and higher payment
10016,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,212 ","$23,637 ",Value of Care hip/knee replacement measure,Average complications and average payment
10016,PAYM_30_PN,Greater than the National Average Payment,"$17,710 ","$20,034 ",Value of Care Pneumonia measure,Average mortality and higher payment
10018,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10018,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
10018,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10018,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
10019,PAYM_30_AMI,No Different than the National Average Payment,"$20,136 ","$26,217 ",Value of Care Heart Attack measure,Average mortality and average payment
10019,PAYM_30_HF,No Different than the National Average Payment,"$16,107 ","$18,574 ",Value of Care Heart Failure measure,Average mortality and average payment
10019,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,321 ","$23,987 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10019,PAYM_30_PN,No Different than the National Average Payment,"$16,372 ","$18,552 ",Value of Care Pneumonia measure,Average mortality and average payment
10021,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10021,PAYM_30_HF,No Different than the National Average Payment,"$15,585 ","$19,998 ",Value of Care Heart Failure measure,Average mortality and average payment
10021,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10021,PAYM_30_PN,No Different than the National Average Payment,"$15,847 ","$19,328 ",Value of Care Pneumonia measure,Average mortality and average payment
10022,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10022,PAYM_30_HF,No Different than the National Average Payment,"$14,672 ","$20,037 ",Value of Care Heart Failure measure,Average mortality and average payment
10022,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10022,PAYM_30_PN,Less than the National Average Payment,"$12,063 ","$15,615 ",Value of Care Pneumonia measure,Average mortality and lower payment
10023,PAYM_30_AMI,No Different than the National Average Payment,"$21,837 ","$25,127 ",Value of Care Heart Attack measure,Average mortality and average payment
10023,PAYM_30_HF,No Different than the National Average Payment,"$15,838 ","$17,906 ",Value of Care Heart Failure measure,Average mortality and average payment
10023,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$20,250 ","$21,485 ",Value of Care hip/knee replacement measure,Average complications and lower payment
10023,PAYM_30_PN,Greater than the National Average Payment,"$18,278 ","$21,329 ",Value of Care Pneumonia measure,Average mortality and higher payment
10024,PAYM_30_AMI,Greater than the National Average Payment,"$23,823 ","$28,068 ",Value of Care Heart Attack measure,Average mortality and higher payment
10024,PAYM_30_HF,No Different than the National Average Payment,"$15,440 ","$17,490 ",Value of Care Heart Failure measure,Average mortality and average payment
10024,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,024 ","$22,733 ",Value of Care hip/knee replacement measure,Average complications and average payment
10024,PAYM_30_PN,No Different than the National Average Payment,"$16,816 ","$18,564 ",Value of Care Pneumonia measure,Worse mortality and average payment
10029,PAYM_30_AMI,No Different than the National Average Payment,"$21,910 ","$25,602 ",Value of Care Heart Attack measure,Worse mortality and average payment
10029,PAYM_30_HF,Less than the National Average Payment,"$13,742 ","$15,222 ",Value of Care Heart Failure measure,Average mortality and lower payment
10029,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$20,492 ","$21,614 ",Value of Care hip/knee replacement measure,Average complications and lower payment
10029,PAYM_30_PN,Less than the National Average Payment,"$15,500 ","$17,085 ",Value of Care Pneumonia measure,Average mortality and lower payment
10032,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10032,PAYM_30_HF,Greater than the National Average Payment,"$16,755 ","$22,948 ",Value of Care Heart Failure measure,Average mortality and higher payment
10032,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10032,PAYM_30_PN,No Different than the National Average Payment,"$12,358 ","$17,498 ",Value of Care Pneumonia measure,Average mortality and average payment
10033,PAYM_30_AMI,Less than the National Average Payment,"$20,003 ","$22,829 ",Value of Care Heart Attack measure,Average mortality and lower payment
10033,PAYM_30_HF,Less than the National Average Payment,"$14,960 ","$16,624 ",Value of Care Heart Failure measure,Better mortality and lower payment
10033,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$23,571 ","$25,746 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10033,PAYM_30_PN,No Different than the National Average Payment,"$17,173 ","$18,862 ",Value of Care Pneumonia measure,Better mortality and average payment
10034,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10034,PAYM_30_HF,No Different than the National Average Payment,"$13,281 ","$16,901 ",Value of Care Heart Failure measure,Average mortality and average payment
10034,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10034,PAYM_30_PN,No Different than the National Average Payment,"$14,669 ","$18,413 ",Value of Care Pneumonia measure,Average mortality and average payment
10035,PAYM_30_AMI,No Different than the National Average Payment,"$20,946 ","$25,507 ",Value of Care Heart Attack measure,Average mortality and average payment
10035,PAYM_30_HF,No Different than the National Average Payment,"$15,374 ","$17,189 ",Value of Care Heart Failure measure,Average mortality and average payment
10035,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,538 ","$22,238 ",Value of Care hip/knee replacement measure,Average complications and average payment
10035,PAYM_30_PN,No Different than the National Average Payment,"$16,490 ","$18,293 ",Value of Care Pneumonia measure,Worse mortality and average payment
10036,PAYM_30_AMI,No Different than the National Average Payment,"$19,678 ","$25,803 ",Value of Care Heart Attack measure,Average mortality and average payment
10036,PAYM_30_HF,Less than the National Average Payment,"$13,365 ","$16,359 ",Value of Care Heart Failure measure,Average mortality and lower payment
10036,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,562 ","$23,495 ",Value of Care hip/knee replacement measure,Average complications and average payment
10036,PAYM_30_PN,Less than the National Average Payment,"$15,119 ","$17,286 ",Value of Care Pneumonia measure,Average mortality and lower payment
10038,PAYM_30_AMI,No Different than the National Average Payment,"$21,287 ","$26,565 ",Value of Care Heart Attack measure,Average mortality and average payment
10038,PAYM_30_HF,No Different than the National Average Payment,"$15,268 ","$18,769 ",Value of Care Heart Failure measure,Average mortality and average payment
10038,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,046 ","$26,731 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10038,PAYM_30_PN,No Different than the National Average Payment,"$14,911 ","$18,003 ",Value of Care Pneumonia measure,Average mortality and average payment
10039,PAYM_30_AMI,No Different than the National Average Payment,"$21,911 ","$23,866 ",Value of Care Heart Attack measure,Average mortality and average payment
10039,PAYM_30_HF,No Different than the National Average Payment,"$15,788 ","$16,932 ",Value of Care Heart Failure measure,Average mortality and average payment
10039,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$20,115 ","$20,847 ",Value of Care hip/knee replacement measure,Average complications and lower payment
10039,PAYM_30_PN,No Different than the National Average Payment,"$16,431 ","$17,469 ",Value of Care Pneumonia measure,Worse mortality and average payment
10040,PAYM_30_AMI,No Different than the National Average Payment,"$21,740 ","$25,637 ",Value of Care Heart Attack measure,Average mortality and average payment
10040,PAYM_30_HF,Greater than the National Average Payment,"$17,238 ","$19,500 ",Value of Care Heart Failure measure,Average mortality and higher payment
10040,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$23,996 ","$25,874 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10040,PAYM_30_PN,Greater than the National Average Payment,"$17,521 ","$19,406 ",Value of Care Pneumonia measure,Average mortality and higher payment
10044,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10044,PAYM_30_HF,No Different than the National Average Payment,"$13,429 ","$17,856 ",Value of Care Heart Failure measure,Average mortality and average payment
10044,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10044,PAYM_30_PN,Less than the National Average Payment,"$14,077 ","$16,927 ",Value of Care Pneumonia measure,Average mortality and lower payment
10045,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10045,PAYM_30_HF,No Different than the National Average Payment,"$13,314 ","$17,078 ",Value of Care Heart Failure measure,Average mortality and average payment
10045,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10045,PAYM_30_PN,Less than the National Average Payment,"$13,197 ","$16,285 ",Value of Care Pneumonia measure,Average mortality and lower payment
10046,PAYM_30_AMI,No Different than the National Average Payment,"$21,700 ","$26,855 ",Value of Care Heart Attack measure,Average mortality and average payment
10046,PAYM_30_HF,No Different than the National Average Payment,"$15,332 ","$17,637 ",Value of Care Heart Failure measure,Better mortality and average payment
10046,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,557 ","$25,675 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10046,PAYM_30_PN,Greater than the National Average Payment,"$18,692 ","$21,123 ",Value of Care Pneumonia measure,Average mortality and higher payment
10047,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10047,PAYM_30_HF,Less than the National Average Payment,"$12,163 ","$16,539 ",Value of Care Heart Failure measure,Average mortality and lower payment
10047,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10047,PAYM_30_PN,Less than the National Average Payment,"$12,140 ","$15,290 ",Value of Care Pneumonia measure,Average mortality and lower payment
10049,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10049,PAYM_30_HF,No Different than the National Average Payment,"$13,683 ","$16,962 ",Value of Care Heart Failure measure,Average mortality and average payment
10049,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,396 ","$23,493 ",Value of Care hip/knee replacement measure,Average complications and average payment
10049,PAYM_30_PN,No Different than the National Average Payment,"$14,605 ","$17,526 ",Value of Care Pneumonia measure,Average mortality and average payment
10051,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10051,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
10051,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10051,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
10052,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10052,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
10052,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10052,PAYM_30_PN,Less than the National Average Payment,"$12,778 ","$15,852 ",Value of Care Pneumonia measure,Average mortality and lower payment
10055,PAYM_30_AMI,Less than the National Average Payment,"$20,315 ","$23,455 ",Value of Care Heart Attack measure,Average mortality and lower payment
10055,PAYM_30_HF,No Different than the National Average Payment,"$15,057 ","$17,026 ",Value of Care Heart Failure measure,Worse mortality and average payment
10055,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$23,218 ","$24,900 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10055,PAYM_30_PN,No Different than the National Average Payment,"$15,929 ","$17,676 ",Value of Care Pneumonia measure,Average mortality and average payment
10056,PAYM_30_AMI,No Different than the National Average Payment,"$22,119 ","$26,329 ",Value of Care Heart Attack measure,Average mortality and average payment
10056,PAYM_30_HF,No Different than the National Average Payment,"$16,378 ","$18,635 ",Value of Care Heart Failure measure,Average mortality and average payment
10056,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,722 ","$22,581 ",Value of Care hip/knee replacement measure,Average complications and average payment
10056,PAYM_30_PN,No Different than the National Average Payment,"$16,552 ","$18,213 ",Value of Care Pneumonia measure,Average mortality and average payment
10058,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10058,PAYM_30_HF,No Different than the National Average Payment,"$15,253 ","$21,025 ",Value of Care Heart Failure measure,Average mortality and average payment
10058,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10058,PAYM_30_PN,Less than the National Average Payment,"$12,634 ","$15,977 ",Value of Care Pneumonia measure,Average mortality and lower payment
10059,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10059,PAYM_30_HF,No Different than the National Average Payment,"$13,807 ","$18,416 ",Value of Care Heart Failure measure,Average mortality and average payment
10059,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10059,PAYM_30_PN,No Different than the National Average Payment,"$14,789 ","$18,496 ",Value of Care Pneumonia measure,Average mortality and average payment
10061,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10061,PAYM_30_HF,Less than the National Average Payment,"$13,353 ","$16,615 ",Value of Care Heart Failure measure,Average mortality and lower payment
10061,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,231 ","$27,438 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10061,PAYM_30_PN,Less than the National Average Payment,"$13,421 ","$15,594 ",Value of Care Pneumonia measure,Average mortality and lower payment
10062,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10062,PAYM_30_HF,Less than the National Average Payment,"$12,672 ","$16,099 ",Value of Care Heart Failure measure,Average mortality and lower payment
10062,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10062,PAYM_30_PN,Less than the National Average Payment,"$13,623 ","$16,458 ",Value of Care Pneumonia measure,Average mortality and lower payment
10065,PAYM_30_AMI,No Different than the National Average Payment,"$21,348 ","$27,159 ",Value of Care Heart Attack measure,Average mortality and average payment
10065,PAYM_30_HF,No Different than the National Average Payment,"$16,269 ","$19,417 ",Value of Care Heart Failure measure,Average mortality and average payment
10065,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$23,722 ","$27,440 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10065,PAYM_30_PN,No Different than the National Average Payment,"$17,138 ","$19,774 ",Value of Care Pneumonia measure,Average mortality and average payment
10069,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10069,PAYM_30_HF,No Different than the National Average Payment,"$13,123 ","$16,902 ",Value of Care Heart Failure measure,Average mortality and average payment
10069,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10069,PAYM_30_PN,Less than the National Average Payment,"$11,463 ","$14,291 ",Value of Care Pneumonia measure,Average mortality and lower payment
10073,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10073,PAYM_30_HF,No Different than the National Average Payment,"$13,369 ","$17,567 ",Value of Care Heart Failure measure,Average mortality and average payment
10073,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10073,PAYM_30_PN,No Different than the National Average Payment,"$14,477 ","$18,097 ",Value of Care Pneumonia measure,Average mortality and average payment
10078,PAYM_30_AMI,No Different than the National Average Payment,"$22,366 ","$25,453 ",Value of Care Heart Attack measure,Average mortality and average payment
10078,PAYM_30_HF,Less than the National Average Payment,"$14,580 ","$16,354 ",Value of Care Heart Failure measure,Average mortality and lower payment
10078,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,603 ","$24,320 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10078,PAYM_30_PN,No Different than the National Average Payment,"$15,842 ","$17,610 ",Value of Care Pneumonia measure,Average mortality and average payment
10079,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10079,PAYM_30_HF,Less than the National Average Payment,"$13,409 ","$16,076 ",Value of Care Heart Failure measure,Average mortality and lower payment
10079,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,206 ","$24,491 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10079,PAYM_30_PN,Less than the National Average Payment,"$14,810 ","$17,022 ",Value of Care Pneumonia measure,Average mortality and lower payment
10083,PAYM_30_AMI,No Different than the National Average Payment,"$21,109 ","$25,435 ",Value of Care Heart Attack measure,Average mortality and average payment
10083,PAYM_30_HF,No Different than the National Average Payment,"$15,197 ","$17,511 ",Value of Care Heart Failure measure,Average mortality and average payment
10083,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,148 ","$21,162 ",Value of Care hip/knee replacement measure,Average complications and lower payment
10083,PAYM_30_PN,Less than the National Average Payment,"$14,263 ","$16,275 ",Value of Care Pneumonia measure,Average mortality and lower payment
10085,PAYM_30_AMI,No Different than the National Average Payment,"$20,989 ","$26,008 ",Value of Care Heart Attack measure,Average mortality and average payment
10085,PAYM_30_HF,Less than the National Average Payment,"$14,158 ","$15,783 ",Value of Care Heart Failure measure,Average mortality and lower payment
10085,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,596 ","$23,181 ",Value of Care hip/knee replacement measure,Average complications and average payment
10085,PAYM_30_PN,Less than the National Average Payment,"$15,264 ","$16,737 ",Value of Care Pneumonia measure,Average mortality and lower payment
10086,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10086,PAYM_30_HF,No Different than the National Average Payment,"$13,557 ","$17,158 ",Value of Care Heart Failure measure,Average mortality and average payment
10086,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10086,PAYM_30_PN,Less than the National Average Payment,"$14,210 ","$16,723 ",Value of Care Pneumonia measure,Average mortality and lower payment
10087,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10087,PAYM_30_HF,No Different than the National Average Payment,"$13,402 ","$18,005 ",Value of Care Heart Failure measure,Average mortality and average payment
10087,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10087,PAYM_30_PN,No Different than the National Average Payment,"$16,028 ","$21,790 ",Value of Care Pneumonia measure,Average mortality and average payment
10089,PAYM_30_AMI,No Different than the National Average Payment,"$21,915 ","$29,108 ",Value of Care Heart Attack measure,Average mortality and average payment
10089,PAYM_30_HF,No Different than the National Average Payment,"$14,029 ","$16,917 ",Value of Care Heart Failure measure,Average mortality and average payment
10089,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,923 ","$21,755 ",Value of Care hip/knee replacement measure,Average complications and lower payment
10089,PAYM_30_PN,No Different than the National Average Payment,"$15,378 ","$17,622 ",Value of Care Pneumonia measure,Worse mortality and average payment
10090,PAYM_30_AMI,No Different than the National Average Payment,"$23,261 ","$27,519 ",Value of Care Heart Attack measure,Worse mortality and average payment
10090,PAYM_30_HF,Less than the National Average Payment,"$14,432 ","$16,253 ",Value of Care Heart Failure measure,Worse mortality and lower payment
10090,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,980 ","$22,458 ",Value of Care hip/knee replacement measure,Average complications and average payment
10090,PAYM_30_PN,Less than the National Average Payment,"$15,564 ","$17,205 ",Value of Care Pneumonia measure,Average mortality and lower payment
10091,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10091,PAYM_30_HF,No Different than the National Average Payment,"$13,914 ","$18,470 ",Value of Care Heart Failure measure,Average mortality and average payment
10091,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10091,PAYM_30_PN,No Different than the National Average Payment,"$13,919 ","$18,429 ",Value of Care Pneumonia measure,Average mortality and average payment
10092,PAYM_30_AMI,No Different than the National Average Payment,"$22,392 ","$25,277 ",Value of Care Heart Attack measure,Average mortality and average payment
10092,PAYM_30_HF,No Different than the National Average Payment,"$16,564 ","$18,118 ",Value of Care Heart Failure measure,Average mortality and average payment
10092,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$23,457 ","$24,811 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10092,PAYM_30_PN,No Different than the National Average Payment,"$16,507 ","$17,660 ",Value of Care Pneumonia measure,Average mortality and average payment
10095,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10095,PAYM_30_HF,No Different than the National Average Payment,"$13,942 ","$19,280 ",Value of Care Heart Failure measure,Average mortality and average payment
10095,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10095,PAYM_30_PN,No Different than the National Average Payment,"$13,531 ","$17,890 ",Value of Care Pneumonia measure,Average mortality and average payment
10097,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10097,PAYM_30_HF,Less than the National Average Payment,"$12,241 ","$16,419 ",Value of Care Heart Failure measure,Average mortality and lower payment
10097,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10097,PAYM_30_PN,Less than the National Average Payment,"$11,673 ","$15,840 ",Value of Care Pneumonia measure,Average mortality and lower payment
10099,PAYM_30_AMI,No Different than the National Average Payment,"$20,359 ","$26,847 ",Value of Care Heart Attack measure,Average mortality and average payment
10099,PAYM_30_HF,No Different than the National Average Payment,"$13,794 ","$17,409 ",Value of Care Heart Failure measure,Average mortality and average payment
10099,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10099,PAYM_30_PN,No Different than the National Average Payment,"$15,071 ","$17,777 ",Value of Care Pneumonia measure,Worse mortality and average payment
10100,PAYM_30_AMI,No Different than the National Average Payment,"$20,513 ","$24,621 ",Value of Care Heart Attack measure,Average mortality and average payment
10100,PAYM_30_HF,No Different than the National Average Payment,"$15,747 ","$18,330 ",Value of Care Heart Failure measure,Average mortality and average payment
10100,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,034 ","$20,123 ",Value of Care hip/knee replacement measure,Average complications and lower payment
10100,PAYM_30_PN,No Different than the National Average Payment,"$15,896 ","$18,085 ",Value of Care Pneumonia measure,Average mortality and average payment
10101,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10101,PAYM_30_HF,No Different than the National Average Payment,"$13,360 ","$17,088 ",Value of Care Heart Failure measure,Average mortality and average payment
10101,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10101,PAYM_30_PN,No Different than the National Average Payment,"$14,864 ","$18,653 ",Value of Care Pneumonia measure,Average mortality and average payment
10102,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10102,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
10102,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10102,PAYM_30_PN,No Different than the National Average Payment,"$12,833 ","$17,903 ",Value of Care Pneumonia measure,Average mortality and average payment
10103,PAYM_30_AMI,No Different than the National Average Payment,"$22,730 ","$26,732 ",Value of Care Heart Attack measure,Average mortality and average payment
