Provider ID,Hospital Name,Address,City,State,ZIP Code,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,2059344011,Acute Care Hospitals,Government - State,Yes,Y,2,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,2567372000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,3342228466,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,2562358900,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,2564944000,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,2059216200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,2565435200,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Not Available
10047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,3343762205,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Above the national average,Not Available
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,3343470584,Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,2053723388,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,2568257821,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,3347935000,Acute Care Hospitals,Proprietary,Yes,Y,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
10056,ST VINCENTS BIRMINGHAM,810 ST VINCENTS DRIVE,BIRMINGHAM,AL,35205,2059397000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,2059264881,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Not Available,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Not Available
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,2569742200,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,2562594444,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,3346843655,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,2563297100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,3346887271,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,2563542131,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,2562355121,Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,2519493400,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,2563412000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,2054877736,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,2514717110,Acute Care Hospitals,Government - State,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,2053874000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,2516331000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,2512753191,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,2057597111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,3346243024,Acute Care Hospitals,Government - Local,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,3345674311,Acute Care Hospitals,Government - State,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,2518678061,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,2519282375,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,2567614542,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,3346824131,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,2057833800,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,2055921000,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,3343614267,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,2053678111,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,3347382140,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,3342894000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,2054817000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,3344184100,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
10120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,36460,2515753111,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,2054857117,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,Above the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,3346705000,Acute Care Hospitals,Government - Federal,Yes,Y,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,2512469021,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,2519375521,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Same as the national average,Not Available
10130,ST VINCENTS ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,2053383301,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,2568823100,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,2053925263,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,2058771000,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,2513449630,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
10146,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,2567824538,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,2515782480,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,3342448330,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,3343822200,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,2563861601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,2563321611,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,2562495000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,3347323000,Acute Care Hospitals,Government - State,Yes,Y,4,Not Available,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Not Available
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
10172,NORTH ALABAMA SPECIALITY HOSPITAL,"700 WEST MARKET STREET, 2ND FLOOR",ATHENS,AL,35611,2562339292,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10173,ST VINCENTS CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35045,2054927008,Acute Care Hospitals,Voluntary non-profit - Church,Yes,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
11300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,2518472223,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
11302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,2563569532,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
11304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,2054599100,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
11305,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,2052743000,Critical Access Hospitals,Voluntary non-profit - Private,No,Y,3,Same as the national average,Not Available,Below the national average,Above the national average,Below the national average,Same as the national average,Not Available
13300,CHILDRENS HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,2059399100,Childrens,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
13301,UNIVERSITY OF S A CHILDRENS AND WOMENS HOS,1700 CENTER STREET,MOBILE,AL,36604,2514151000,Childrens,Government - State,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,9075622211,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,9078616000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,9077968900,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,9074528181,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,9072761131,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,9075436300,Acute Care Hospitals,Tribal,Yes,Y,3,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average,Not Available,Not Available
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,9077293971,Acute Care Hospitals,Government - Federal,Yes,Y,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Not Available
21303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA,AK,99835,9077473241,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,9074869592,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,9074433311,Critical Access Hospitals,Tribal,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,9078425201,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,9074423321,Critical Access Hospitals,Tribal,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
