Provider ID,HCAHPS Question,Patient Survey Star Rating
10018,Staff responsiveness - star rating,Not Available
10018,Communication about medicines - star rating,Not Available
10018,Discharge information - star rating,Not Available
10018,Care transition - star rating,Not Available
10018,Overall hospital rating - star rating,Not Available
10018,Quietness - star rating,Not Available
10018,Recommend hospital - star rating,Not Available
10019,Summary star rating,4
10019,Cleanliness - star rating,3
10019,Nurse communication - star rating,4
10019,Doctor communication - star rating,5
10019,Staff responsiveness - star rating,3
10019,Communication about medicines - star rating,3
10019,Discharge information - star rating,3
10019,Care transition - star rating,3
10019,Overall hospital rating - star rating,4
10019,Quietness - star rating,4
10019,Recommend hospital - star rating,4
10021,Summary star rating,4
10021,Cleanliness - star rating,4
10021,Nurse communication - star rating,5
10021,Doctor communication - star rating,5
10021,Staff responsiveness - star rating,5
10021,Communication about medicines - star rating,5
10021,Discharge information - star rating,4
10021,Care transition - star rating,3
10021,Overall hospital rating - star rating,4
10021,Quietness - star rating,5
10021,Recommend hospital - star rating,4
10022,Summary star rating,4
10022,Cleanliness - star rating,5
10022,Nurse communication - star rating,4
10022,Doctor communication - star rating,5
10022,Staff responsiveness - star rating,4
10022,Communication about medicines - star rating,4
10022,Discharge information - star rating,3
10022,Care transition - star rating,3
10022,Overall hospital rating - star rating,3
10022,Quietness - star rating,5
10022,Recommend hospital - star rating,3
10023,Summary star rating,3
10023,Cleanliness - star rating,2
10023,Nurse communication - star rating,2
10023,Doctor communication - star rating,3
10023,Staff responsiveness - star rating,2
10023,Communication about medicines - star rating,3
10023,Discharge information - star rating,3
10023,Care transition - star rating,3
10023,Overall hospital rating - star rating,3
10023,Quietness - star rating,4
10023,Recommend hospital - star rating,3
10024,Summary star rating,3
10024,Cleanliness - star rating,2
10024,Nurse communication - star rating,3
10024,Doctor communication - star rating,3
10024,Staff responsiveness - star rating,3
10024,Communication about medicines - star rating,3
10024,Discharge information - star rating,3
10024,Care transition - star rating,3
10024,Overall hospital rating - star rating,3
10024,Quietness - star rating,4
10024,Recommend hospital - star rating,4
10029,Summary star rating,3
10029,Cleanliness - star rating,2
10029,Nurse communication - star rating,3
10029,Doctor communication - star rating,4
10029,Staff responsiveness - star rating,3
10029,Communication about medicines - star rating,4
10029,Discharge information - star rating,3
10029,Care transition - star rating,3
10029,Overall hospital rating - star rating,4
10029,Quietness - star rating,4
10029,Recommend hospital - star rating,3
10032,Summary star rating,Not Available
10032,Cleanliness - star rating,Not Available
10032,Nurse communication - star rating,Not Available
10032,Doctor communication - star rating,Not Available
10032,Staff responsiveness - star rating,Not Available
10032,Communication about medicines - star rating,Not Available
10032,Discharge information - star rating,Not Available
10032,Care transition - star rating,Not Available
10032,Overall hospital rating - star rating,Not Available
10032,Quietness - star rating,Not Available
10032,Recommend hospital - star rating,Not Available
10033,Summary star rating,4
10033,Cleanliness - star rating,3
10033,Nurse communication - star rating,4
10033,Doctor communication - star rating,4
10033,Staff responsiveness - star rating,3
10033,Communication about medicines - star rating,4
10033,Discharge information - star rating,3
10033,Care transition - star rating,4
10033,Overall hospital rating - star rating,5
10033,Quietness - star rating,4
10033,Recommend hospital - star rating,5
10034,Summary star rating,3
10034,Cleanliness - star rating,3
10034,Nurse communication - star rating,3
10034,Doctor communication - star rating,2
10034,Staff responsiveness - star rating,4
10034,Communication about medicines - star rating,4
10034,Discharge information - star rating,3
10034,Care transition - star rating,2
10034,Overall hospital rating - star rating,2
10034,Quietness - star rating,4
10034,Recommend hospital - star rating,2
10035,Summary star rating,3
10035,Cleanliness - star rating,3
10035,Nurse communication - star rating,4
10035,Doctor communication - star rating,3
10035,Staff responsiveness - star rating,3
10035,Communication about medicines - star rating,3
10035,Discharge information - star rating,3
10035,Care transition - star rating,2
10035,Overall hospital rating - star rating,2
10035,Quietness - star rating,4
10035,Recommend hospital - star rating,2
10036,Summary star rating,3
10036,Cleanliness - star rating,2
10036,Nurse communication - star rating,2
10036,Doctor communication - star rating,3
10036,Staff responsiveness - star rating,2
10036,Communication about medicines - star rating,3
10036,Discharge information - star rating,4
10036,Care transition - star rating,2
10036,Overall hospital rating - star rating,2
10036,Quietness - star rating,4
10036,Recommend hospital - star rating,2
10038,Summary star rating,3
10038,Cleanliness - star rating,3
10038,Nurse communication - star rating,2
10038,Doctor communication - star rating,3
10038,Staff responsiveness - star rating,2
10038,Communication about medicines - star rating,3
10038,Discharge information - star rating,2
10038,Care transition - star rating,3
10038,Overall hospital rating - star rating,3
10038,Quietness - star rating,4
10038,Recommend hospital - star rating,3
10039,Summary star rating,3
10039,Cleanliness - star rating,3
10039,Nurse communication - star rating,4
10039,Doctor communication - star rating,3
10039,Staff responsiveness - star rating,3
10039,Communication about medicines - star rating,3
10039,Discharge information - star rating,3
10039,Care transition - star rating,3
10039,Overall hospital rating - star rating,4
10039,Quietness - star rating,3
10039,Recommend hospital - star rating,4
10040,Summary star rating,2
10040,Cleanliness - star rating,2
10040,Nurse communication - star rating,2
10040,Doctor communication - star rating,2
10040,Staff responsiveness - star rating,2
10040,Communication about medicines - star rating,2
10040,Discharge information - star rating,3
10040,Care transition - star rating,3
10040,Overall hospital rating - star rating,3
10040,Quietness - star rating,3
10040,Recommend hospital - star rating,3
10044,Summary star rating,4
10044,Cleanliness - star rating,5
10044,Nurse communication - star rating,5
10044,Doctor communication - star rating,5
10044,Staff responsiveness - star rating,4
10044,Communication about medicines - star rating,4
10044,Discharge information - star rating,1
10044,Care transition - star rating,4
10044,Overall hospital rating - star rating,4
10044,Quietness - star rating,5
10044,Recommend hospital - star rating,4
10045,Summary star rating,4
10045,Cleanliness - star rating,5
10045,Nurse communication - star rating,5
10045,Doctor communication - star rating,4
10045,Staff responsiveness - star rating,4
10045,Communication about medicines - star rating,4
10045,Discharge information - star rating,5
10045,Care transition - star rating,4
10045,Overall hospital rating - star rating,4
10045,Quietness - star rating,5
10045,Recommend hospital - star rating,4
10046,Summary star rating,2
10046,Cleanliness - star rating,3
10046,Nurse communication - star rating,2
10046,Doctor communication - star rating,1
10046,Staff responsiveness - star rating,2
10046,Communication about medicines - star rating,1
10046,Discharge information - star rating,2
10046,Care transition - star rating,2
10046,Overall hospital rating - star rating,2
10046,Quietness - star rating,3
10046,Recommend hospital - star rating,3
10047,Summary star rating,Not Available
10047,Cleanliness - star rating,Not Available
10047,Nurse communication - star rating,Not Available
10047,Doctor communication - star rating,Not Available
10047,Staff responsiveness - star rating,Not Available
10047,Communication about medicines - star rating,Not Available
10047,Discharge information - star rating,Not Available
10047,Care transition - star rating,Not Available
10047,Overall hospital rating - star rating,Not Available
10047,Quietness - star rating,Not Available
10047,Recommend hospital - star rating,Not Available
10049,Summary star rating,3
10049,Cleanliness - star rating,3
10049,Nurse communication - star rating,3
10049,Doctor communication - star rating,3
10049,Staff responsiveness - star rating,3
10049,Communication about medicines - star rating,4
10049,Discharge information - star rating,3
10049,Care transition - star rating,3
10049,Overall hospital rating - star rating,3
10049,Quietness - star rating,4
10049,Recommend hospital - star rating,3
10051,Summary star rating,Not Available
10051,Cleanliness - star rating,Not Available
10051,Nurse communication - star rating,Not Available
10051,Doctor communication - star rating,Not Available
10051,Staff responsiveness - star rating,Not Available
10051,Communication about medicines - star rating,Not Available
10051,Discharge information - star rating,Not Available
10051,Care transition - star rating,Not Available
10051,Overall hospital rating - star rating,Not Available
10051,Quietness - star rating,Not Available
10051,Recommend hospital - star rating,Not Available
10052,Summary star rating,4
10052,Cleanliness - star rating,3
10052,Nurse communication - star rating,4
10052,Doctor communication - star rating,4
10052,Staff responsiveness - star rating,4
10052,Communication about medicines - star rating,2
10052,Discharge information - star rating,4
10052,Care transition - star rating,3
10052,Overall hospital rating - star rating,4
10052,Quietness - star rating,4
10052,Recommend hospital - star rating,3
10055,Summary star rating,3
10055,Cleanliness - star rating,2
10055,Nurse communication - star rating,3
10055,Doctor communication - star rating,3
10055,Staff responsiveness - star rating,2
10055,Communication about medicines - star rating,3
10055,Discharge information - star rating,4
10055,Care transition - star rating,4
10055,Overall hospital rating - star rating,3
10055,Quietness - star rating,3
10055,Recommend hospital - star rating,4
10056,Summary star rating,4
10056,Cleanliness - star rating,2
10056,Nurse communication - star rating,4
10056,Doctor communication - star rating,4
10056,Staff responsiveness - star rating,3
10056,Communication about medicines - star rating,4
10056,Discharge information - star rating,3
10056,Care transition - star rating,4
10056,Overall hospital rating - star rating,4
10056,Quietness - star rating,4
10056,Recommend hospital - star rating,4
10058,Summary star rating,Not Available
10058,Cleanliness - star rating,Not Available
10058,Nurse communication - star rating,Not Available
10058,Doctor communication - star rating,Not Available
10058,Staff responsiveness - star rating,Not Available
10058,Communication about medicines - star rating,Not Available
10058,Discharge information - star rating,Not Available
10058,Care transition - star rating,Not Available
10058,Overall hospital rating - star rating,Not Available
10058,Quietness - star rating,Not Available
10058,Recommend hospital - star rating,Not Available
10059,Summary star rating,Not Available
10059,Cleanliness - star rating,Not Available
10059,Nurse communication - star rating,Not Available
10059,Doctor communication - star rating,Not Available
10059,Staff responsiveness - star rating,Not Available
10059,Communication about medicines - star rating,Not Available
10059,Discharge information - star rating,Not Available
10059,Care transition - star rating,Not Available
10059,Overall hospital rating - star rating,Not Available
10059,Quietness - star rating,Not Available
10059,Recommend hospital - star rating,Not Available
10061,Summary star rating,3
10061,Cleanliness - star rating,2
10061,Nurse communication - star rating,3
10061,Doctor communication - star rating,3
10061,Staff responsiveness - star rating,3
10061,Communication about medicines - star rating,3
10061,Discharge information - star rating,3
10061,Care transition - star rating,2
10061,Overall hospital rating - star rating,3
10061,Quietness - star rating,4
10061,Recommend hospital - star rating,2
10062,Summary star rating,3
10062,Cleanliness - star rating,3
10062,Nurse communication - star rating,3
10062,Doctor communication - star rating,4
10062,Staff responsiveness - star rating,4
10062,Communication about medicines - star rating,4
10062,Discharge information - star rating,3
10062,Care transition - star rating,2
10062,Overall hospital rating - star rating,3
10062,Quietness - star rating,3
10062,Recommend hospital - star rating,3
10065,Summary star rating,4
10065,Cleanliness - star rating,3
10065,Nurse communication - star rating,4
10065,Doctor communication - star rating,4
10065,Staff responsiveness - star rating,4
10065,Communication about medicines - star rating,4
10065,Discharge information - star rating,4
10065,Care transition - star rating,3
10065,Overall hospital rating - star rating,4
10065,Quietness - star rating,4
10065,Recommend hospital - star rating,4
10069,Summary star rating,4
10069,Cleanliness - star rating,3
10069,Nurse communication - star rating,4
10069,Doctor communication - star rating,4
10069,Staff responsiveness - star rating,4
10069,Communication about medicines - star rating,5
10069,Discharge information - star rating,3
10069,Care transition - star rating,2
10069,Overall hospital rating - star rating,3
10069,Quietness - star rating,4
10069,Recommend hospital - star rating,3
10073,Summary star rating,4
10073,Cleanliness - star rating,4
10073,Nurse communication - star rating,4
10073,Doctor communication - star rating,5
10073,Staff responsiveness - star rating,5
10073,Communication about medicines - star rating,5
10073,Discharge information - star rating,3
10073,Care transition - star rating,4
10073,Overall hospital rating - star rating,5
10073,Quietness - star rating,4
10073,Recommend hospital - star rating,4
10078,Summary star rating,3
10078,Cleanliness - star rating,2
10078,Nurse communication - star rating,4
10078,Doctor communication - star rating,3
10078,Staff responsiveness - star rating,3
10078,Communication about medicines - star rating,2
10078,Discharge information - star rating,2
10078,Care transition - star rating,3
10078,Overall hospital rating - star rating,3
10078,Quietness - star rating,4
10078,Recommend hospital - star rating,3
10079,Summary star rating,3
10079,Cleanliness - star rating,3
10079,Nurse communication - star rating,4
10079,Doctor communication - star rating,3
10079,Staff responsiveness - star rating,3
10079,Communication about medicines - star rating,3
10079,Discharge information - star rating,3
10079,Care transition - star rating,3
10079,Overall hospital rating - star rating,3
10079,Quietness - star rating,4
10079,Recommend hospital - star rating,3
10083,Summary star rating,4
10083,Cleanliness - star rating,4
10083,Nurse communication - star rating,4
10083,Doctor communication - star rating,3
10083,Staff responsiveness - star rating,5
10083,Communication about medicines - star rating,4
10083,Discharge information - star rating,4
10083,Care transition - star rating,4
10083,Overall hospital rating - star rating,4
10083,Quietness - star rating,4
10083,Recommend hospital - star rating,4
10085,Summary star rating,3
10085,Cleanliness - star rating,3
10085,Nurse communication - star rating,4
10085,Doctor communication - star rating,3
10085,Staff responsiveness - star rating,2
10085,Communication about medicines - star rating,3
10085,Discharge information - star rating,3
10085,Care transition - star rating,3
10085,Overall hospital rating - star rating,2
10085,Quietness - star rating,3
10085,Recommend hospital - star rating,2
10086,Summary star rating,4
10086,Cleanliness - star rating,4
10086,Nurse communication - star rating,4
10086,Doctor communication - star rating,5
10086,Staff responsiveness - star rating,5
10086,Communication about medicines - star rating,4
10086,Discharge information - star rating,4
10086,Care transition - star rating,4
10086,Overall hospital rating - star rating,4
10086,Quietness - star rating,4
10086,Recommend hospital - star rating,4
10087,Summary star rating,4
10087,Cleanliness - star rating,3
10087,Nurse communication - star rating,4
10087,Doctor communication - star rating,4
10087,Staff responsiveness - star rating,3
10087,Communication about medicines - star rating,4
10087,Discharge information - star rating,3
10087,Care transition - star rating,3
10087,Overall hospital rating - star rating,4
10087,Quietness - star rating,4
10087,Recommend hospital - star rating,4
10089,Summary star rating,3
10089,Cleanliness - star rating,2
10089,Nurse communication - star rating,3
10089,Doctor communication - star rating,3
10089,Staff responsiveness - star rating,3
10089,Communication about medicines - star rating,2
10089,Discharge information - star rating,3
10089,Care transition - star rating,3
10089,Overall hospital rating - star rating,3
10089,Quietness - star rating,3
10089,Recommend hospital - star rating,2
10090,Summary star rating,3
10090,Cleanliness - star rating,2
10090,Nurse communication - star rating,3
10090,Doctor communication - star rating,3
10090,Staff responsiveness - star rating,4
10090,Communication about medicines - star rating,3
10090,Discharge information - star rating,3
10090,Care transition - star rating,3
10090,Overall hospital rating - star rating,4
10090,Quietness - star rating,3
10090,Recommend hospital - star rating,4
10091,Summary star rating,3
10091,Cleanliness - star rating,2
10091,Nurse communication - star rating,4
10091,Doctor communication - star rating,5
10091,Staff responsiveness - star rating,4
10091,Communication about medicines - star rating,4
10091,Discharge information - star rating,3
10091,Care transition - star rating,1
10091,Overall hospital rating - star rating,3
10091,Quietness - star rating,4
10091,Recommend hospital - star rating,3
10092,Summary star rating,3
10092,Cleanliness - star rating,2
10092,Nurse communication - star rating,3
10092,Doctor communication - star rating,3
10092,Staff responsiveness - star rating,2
10092,Communication about medicines - star rating,2
10092,Discharge information - star rating,3
10092,Care transition - star rating,3
10092,Overall hospital rating - star rating,3
10092,Quietness - star rating,3
10092,Recommend hospital - star rating,3
10095,Summary star rating,Not Available
10095,Cleanliness - star rating,Not Available
10095,Nurse communication - star rating,Not Available
10095,Doctor communication - star rating,Not Available
10095,Staff responsiveness - star rating,Not Available
10095,Communication about medicines - star rating,Not Available
10095,Discharge information - star rating,Not Available
10095,Care transition - star rating,Not Available
10095,Overall hospital rating - star rating,Not Available
10095,Quietness - star rating,Not Available
10095,Recommend hospital - star rating,Not Available
10097,Summary star rating,4
10097,Cleanliness - star rating,1
10097,Nurse communication - star rating,4
10097,Doctor communication - star rating,5
10097,Staff responsiveness - star rating,5
10097,Communication about medicines - star rating,5
10097,Discharge information - star rating,3
10097,Care transition - star rating,3
10097,Overall hospital rating - star rating,4
10097,Quietness - star rating,4
10097,Recommend hospital - star rating,3
10099,Summary star rating,3
10099,Cleanliness - star rating,3
10099,Nurse communication - star rating,4
10099,Doctor communication - star rating,4
10099,Staff responsiveness - star rating,4
10099,Communication about medicines - star rating,4
10099,Discharge information - star rating,2
10099,Care transition - star rating,2
10099,Overall hospital rating - star rating,3
10099,Quietness - star rating,4
10099,Recommend hospital - star rating,3
10100,Summary star rating,4
10100,Cleanliness - star rating,3
10100,Nurse communication - star rating,4
10100,Doctor communication - star rating,4
10100,Staff responsiveness - star rating,4
10100,Communication about medicines - star rating,4
10100,Discharge information - star rating,4
10100,Care transition - star rating,4
10100,Overall hospital rating - star rating,3
10100,Quietness - star rating,4
10100,Recommend hospital - star rating,4
10101,Summary star rating,3
10101,Cleanliness - star rating,2
10101,Nurse communication - star rating,2
10101,Doctor communication - star rating,3
10101,Staff responsiveness - star rating,3
10101,Communication about medicines - star rating,3
10101,Discharge information - star rating,3
10101,Care transition - star rating,3
10101,Overall hospital rating - star rating,3
10101,Quietness - star rating,4
10101,Recommend hospital - star rating,2
10102,Summary star rating,Not Available
10102,Cleanliness - star rating,Not Available
10102,Nurse communication - star rating,Not Available
10102,Doctor communication - star rating,Not Available
10102,Staff responsiveness - star rating,Not Available
10102,Communication about medicines - star rating,Not Available
10102,Discharge information - star rating,Not Available
10102,Care transition - star rating,Not Available
10102,Overall hospital rating - star rating,Not Available
10102,Quietness - star rating,Not Available
10102,Recommend hospital - star rating,Not Available
10103,Summary star rating,3
10103,Cleanliness - star rating,1
10103,Nurse communication - star rating,3
10103,Doctor communication - star rating,4
10103,Staff responsiveness - star rating,3
10103,Communication about medicines - star rating,3
10103,Discharge information - star rating,4
10103,Care transition - star rating,3
10103,Overall hospital rating - star rating,4
10103,Quietness - star rating,3
10103,Recommend hospital - star rating,3
10104,Summary star rating,3
10104,Cleanliness - star rating,3
10104,Nurse communication - star rating,3
10104,Doctor communication - star rating,4
10104,Staff responsiveness - star rating,3
10104,Communication about medicines - star rating,3
10104,Discharge information - star rating,3
10104,Care transition - star rating,4
10104,Overall hospital rating - star rating,4
10104,Quietness - star rating,4
10104,Recommend hospital - star rating,4
10108,Summary star rating,4
10108,Cleanliness - star rating,4
10108,Nurse communication - star rating,4
10108,Doctor communication - star rating,4
10108,Staff responsiveness - star rating,3
10108,Communication about medicines - star rating,3
10108,Discharge information - star rating,4
10108,Care transition - star rating,3
10108,Overall hospital rating - star rating,4
10108,Quietness - star rating,4
10108,Recommend hospital - star rating,3
10109,Summary star rating,Not Available
10109,Cleanliness - star rating,Not Available
10109,Nurse communication - star rating,Not Available
10109,Doctor communication - star rating,Not Available
10109,Staff responsiveness - star rating,Not Available
10109,Communication about medicines - star rating,Not Available
10109,Discharge information - star rating,Not Available
10109,Care transition - star rating,Not Available
10109,Overall hospital rating - star rating,Not Available
10109,Quietness - star rating,Not Available
10109,Recommend hospital - star rating,Not Available
10110,Summary star rating,Not Available
10110,Cleanliness - star rating,Not Available
10110,Nurse communication - star rating,Not Available
10110,Doctor communication - star rating,Not Available
10110,Staff responsiveness - star rating,Not Available
10110,Communication about medicines - star rating,Not Available
10110,Discharge information - star rating,Not Available
10110,Care transition - star rating,Not Available
10110,Overall hospital rating - star rating,Not Available
10110,Quietness - star rating,Not Available
10110,Recommend hospital - star rating,Not Available
10112,Summary star rating,3
10112,Cleanliness - star rating,4
10112,Nurse communication - star rating,3
10112,Doctor communication - star rating,5
10112,Staff responsiveness - star rating,3
10112,Communication about medicines - star rating,3
10112,Discharge information - star rating,1
10112,Care transition - star rating,2
10112,Overall hospital rating - star rating,2
10112,Quietness - star rating,4
10112,Recommend hospital - star rating,1
10113,Summary star rating,4
10113,Cleanliness - star rating,3
10113,Nurse communication - star rating,4
10113,Doctor communication - star rating,4
10113,Staff responsiveness - star rating,4
10113,Communication about medicines - star rating,5
10113,Discharge information - star rating,4
10113,Care transition - star rating,3
10113,Overall hospital rating - star rating,4
10113,Quietness - star rating,4
10113,Recommend hospital - star rating,4
10114,Summary star rating,3
10114,Cleanliness - star rating,2
10114,Nurse communication - star rating,2
10114,Doctor communication - star rating,3
10114,Staff responsiveness - star rating,2
10114,Communication about medicines - star rating,2
10114,Discharge information - star rating,3
10114,Care transition - star rating,3
10114,Overall hospital rating - star rating,3
10114,Quietness - star rating,3
10114,Recommend hospital - star rating,2
10118,Summary star rating,2
10118,Cleanliness - star rating,2
10118,Nurse communication - star rating,1
10118,Doctor communication - star rating,4
10118,Staff responsiveness - star rating,1
10118,Communication about medicines - star rating,2
10118,Discharge information - star rating,1
10118,Care transition - star rating,2
10118,Overall hospital rating - star rating,2
10118,Quietness - star rating,3
10118,Recommend hospital - star rating,1
10120,Summary star rating,4
10120,Cleanliness - star rating,4
10120,Nurse communication - star rating,4
10120,Doctor communication - star rating,5
10120,Staff responsiveness - star rating,4
10120,Communication about medicines - star rating,5
10120,Discharge information - star rating,3
10120,Care transition - star rating,3
10120,Overall hospital rating - star rating,4
10120,Quietness - star rating,4
10120,Recommend hospital - star rating,3
10125,Summary star rating,4
10125,Cleanliness - star rating,3
10125,Nurse communication - star rating,4
10125,Doctor communication - star rating,4
10125,Staff responsiveness - star rating,4
10125,Communication about medicines - star rating,5
10125,Discharge information - star rating,3
10125,Care transition - star rating,3
10125,Overall hospital rating - star rating,3
10125,Quietness - star rating,4
10125,Recommend hospital - star rating,3
10126,Summary star rating,3
10126,Cleanliness - star rating,1
10126,Nurse communication - star rating,3
10126,Doctor communication - star rating,4
10126,Staff responsiveness - star rating,4
10126,Communication about medicines - star rating,3
10126,Discharge information - star rating,3
10126,Care transition - star rating,2
10126,Overall hospital rating - star rating,2
10126,Quietness - star rating,4
10126,Recommend hospital - star rating,2
10128,Summary star rating,4
10128,Cleanliness - star rating,3
10128,Nurse communication - star rating,4
10128,Doctor communication - star rating,4
10128,Staff responsiveness - star rating,4
10128,Communication about medicines - star rating,4
10128,Discharge information - star rating,2
10128,Care transition - star rating,3
10128,Overall hospital rating - star rating,3
10128,Quietness - star rating,5
10128,Recommend hospital - star rating,3
10129,Summary star rating,4
10129,Cleanliness - star rating,4
10129,Nurse communication - star rating,4
10129,Doctor communication - star rating,4
10129,Staff responsiveness - star rating,4
10129,Communication about medicines - star rating,4
10129,Discharge information - star rating,4
10129,Care transition - star rating,3
10129,Overall hospital rating - star rating,3
10129,Quietness - star rating,4
10129,Recommend hospital - star rating,3
10130,Summary star rating,4
10130,Cleanliness - star rating,3
10130,Nurse communication - star rating,4
10130,Doctor communication - star rating,5
10130,Staff responsiveness - star rating,4
10130,Communication about medicines - star rating,3
10130,Discharge information - star rating,3
10130,Care transition - star rating,4
10130,Overall hospital rating - star rating,4
10130,Quietness - star rating,4
10130,Recommend hospital - star rating,4
10131,Summary star rating,3
10131,Cleanliness - star rating,2
10131,Nurse communication - star rating,2
10131,Doctor communication - star rating,3
10131,Staff responsiveness - star rating,2
10131,Communication about medicines - star rating,2
10131,Discharge information - star rating,3
10131,Care transition - star rating,3
10131,Overall hospital rating - star rating,3
10131,Quietness - star rating,4
10131,Recommend hospital - star rating,3
10138,Summary star rating,Not Available
10138,Cleanliness - star rating,Not Available
10138,Nurse communication - star rating,Not Available
10138,Doctor communication - star rating,Not Available
10138,Staff responsiveness - star rating,Not Available
10138,Communication about medicines - star rating,Not Available
10138,Discharge information - star rating,Not Available
10138,Care transition - star rating,Not Available
10138,Overall hospital rating - star rating,Not Available
10138,Quietness - star rating,Not Available
10138,Recommend hospital - star rating,Not Available
10139,Summary star rating,3
10139,Cleanliness - star rating,2
10139,Nurse communication - star rating,2
10139,Doctor communication - star rating,3
10139,Staff responsiveness - star rating,2
10139,Communication about medicines - star rating,3
10139,Discharge information - star rating,3
10139,Care transition - star rating,3
10139,Overall hospital rating - star rating,2
10139,Quietness - star rating,3
10139,Recommend hospital - star rating,3
10144,Summary star rating,3
10144,Cleanliness - star rating,3
10144,Nurse communication - star rating,3
10144,Doctor communication - star rating,3
10144,Staff responsiveness - star rating,3
10144,Communication about medicines - star rating,3
10144,Discharge information - star rating,3
10144,Care transition - star rating,3
10144,Overall hospital rating - star rating,4
10144,Quietness - star rating,4
10144,Recommend hospital - star rating,4
10146,Summary star rating,Not Available
10146,Cleanliness - star rating,Not Available
10146,Nurse communication - star rating,Not Available
10146,Doctor communication - star rating,Not Available
10146,Staff responsiveness - star rating,Not Available
10146,Communication about medicines - star rating,Not Available
10146,Discharge information - star rating,Not Available
10146,Care transition - star rating,Not Available
10146,Overall hospital rating - star rating,Not Available
10146,Quietness - star rating,Not Available
10146,Recommend hospital - star rating,Not Available
10148,Summary star rating,3
10148,Cleanliness - star rating,2
10148,Nurse communication - star rating,3
10148,Doctor communication - star rating,5
10148,Staff responsiveness - star rating,2
10148,Communication about medicines - star rating,2
10148,Discharge information - star rating,3
10148,Care transition - star rating,2
10148,Overall hospital rating - star rating,3
10148,Quietness - star rating,4
10148,Recommend hospital - star rating,3
10149,Summary star rating,4
10149,Cleanliness - star rating,3
10149,Nurse communication - star rating,4
10149,Doctor communication - star rating,4
10149,Staff responsiveness - star rating,3
10149,Communication about medicines - star rating,4
10149,Discharge information - star rating,4
10149,Care transition - star rating,4
10149,Overall hospital rating - star rating,4
10149,Quietness - star rating,4
10149,Recommend hospital - star rating,4
10150,Summary star rating,4
10150,Cleanliness - star rating,4
10150,Nurse communication - star rating,4
10150,Doctor communication - star rating,5
10150,Staff responsiveness - star rating,4
10150,Communication about medicines - star rating,4
10150,Discharge information - star rating,2
10150,Care transition - star rating,3
10150,Overall hospital rating - star rating,4
10150,Quietness - star rating,5
10150,Recommend hospital - star rating,3
10157,Summary star rating,3
